unlocode,name,municipality,iso_country,lat,lon
IQTQD,Al Taqaddum,Al Taqaddum,IQ,33.33333,43.58333
IQUQR,Umm Qasr Port,Umm Qasr Port,IQ,30.03333,47.93333
IQZAO,Zakho,Zakho,IQ,37.13333,42.7
IRABD,Abadan,Abadan,IR,30.3636097,48.2591475
IRAMD,Bandar Amirabad,Bandar Amirabad,IR,36.78333,53.35
IRAMP,Amir Abad Pt,Amir Abad Pt,IR,36.08333,52.36667
IRASA,Asaluyeh,Asaluyeh,IR,27.46667,52.6
IRAZD,Yazd,Yazd,IR,31.9052223,54.3701235
IRBAM,Amirabad,Amirabad,IR,36.85,53.365
IRBAZ,Bandar-e Anzali,Bandar-e Anzali,IR,37.46667,49.46667
IRBIK,Imam Khomeini Pt/ Mahshahr City,Imam Khomeini Pt/ Mahshahr City,IR,30.41667,49.06667
IRBKK,Bandar-e Emam Khomeyni,Bandar-e Emam Khomeyni,IR,30.5502699,49.0565038
IRBKM,Bandar Khomeini,Bandar Khomeini,IR,30.43333,49.1
IRBMR,Bandar Mashur,Bandar Mashur,IR,30.55,49.18333
IRBND,Bandar Abbas,Bandar Abbas,IR,27.18333,56.26667
IRBPA,Bandare Parsian,Bandare Parsian,IR,27.16667,52.9
IRBRG,Bandar-e Gaz,Bandar-e Gaz,IR,36.78333,53.95
IRBSR,Bandar Shahid Rajaee,Bandar Shahid Rajaee,IR,27.1131923,56.0543413
IRBUZ,Bushehr,Bushehr,IR,28.96667,50.83333
IRCYT,Soroosh (Cyrus) Terminal,Soroosh (Cyrus) Terminal,IR,29.03333,49.46667
IRDAY,Dayyer,Dayyer,IR,27.83333,51.93333
IRFKR,Freidoon Kenar,Freidoon Kenar,IR,36.7,52.55
IRIFN,Isfahan,Isfahan,IR,32.6707877,51.6650002
IRIMH,Imam Hasan,Imam Hasan,IR,34.364856,45.728855
IRKAS,Kashan,Kashan,IR,33.9876533,51.4428856
IRKAV,Kuvei,Kuvei,IR,26.95,56
IRKHK,Khark Island,Khark Island,IR,29.2405943,50.3117293
IRKHO,Khorramshahr,Khorramshahr,IR,30.4748457,48.2428548
IRKSH,Kermanshah (Bakhtaran),Kermanshah (Bakhtaran),IR,34.3,47.05
IRLVP,Lavan,Lavan,IR,26.8184202,53.2714828
IRMRX,Bandar-e Måh Shahr,Bandar-e Måh Shahr,IR,30.53333,49.16667
IRNEK,Bandar Neka,Bandar Neka,IR,36.86667,53.53333
IRNKA,Neka,Neka,IR,36.6511824,53.2965182
IRNSH,Now Shahr,Now Shahr,IR,38.088333,48.420833
IRSBR,Shahid Bahonar,Shahid Bahonar,IR,32.9911842,47.7603903
IRSIX,Sari,Sari,IR,36.5537458,53.0602761
IRSRA,Sarooj Anchorage,Sarooj Anchorage,IR,27.73333,52.15
IRSRP,Shahid Rajaee Pt/Bandar Abbas,Shahid Rajaee Pt/Bandar Abbas,IR,27.11667,56.06667
IRSXI,Sirri Island,Sirri Island,IR,25.9127978,54.524911
IRSYZ,Shiraz,Shiraz,IR,29.6060218,52.5378041
IRTBZ,Tabriz,Tabriz,IR,38.0738612,46.2978789
IRTMB,Tombak,Tombak,IR,27.5554677,51.9982193
IRZBR,Chah Bahar,Chah Bahar,IR,25.3025,60.600833
ISAKR,Akranes,Akranes,IS,64.3170806,-22.0833512
ISAKU,Akureyri,Akureyri,IS,65.6839036,-18.1121756
ISASS,Arskogssandur,Arskogssandur,IS,65.93333,-18.36667
ISBAK,Bakkafjördur,Bakkafjördur,IS,66.03333,-14.8
ISBGJ,Borgarfjørdur eystri,Borgarfjørdur eystri,IS,65.5269612,-13.8161009
ISBIL,Bildudalur - høfn,Bildudalur - høfn,IS,65.683055,-23.630556
ISBLO,Blonduos,Blonduos,IS,65.6601344,-20.280998
ISBOI,Bordeyri,Bordeyri,IS,65.2074843,-21.0987679
ISBOL,Bolungarvik,Bolungarvik,IS,66.13333,-23.25
ISBOR,Borgarnes,Borgarnes,IS,64.5383337,-21.920208
ISBRE,Breiddalsvik,Breiddalsvik,IS,64.792906,-14.0063726
ISBRJ,Brjánslækur,Brjánslækur,IS,65.53333,-23.2
ISBUD,Budardalur,Budardalur,IS,65.11667,-21.76667
ISDAL,Dalvík,Dalvík,IS,65.96667,-18.53333
ISDJU,Djúpivogur,Djúpivogur,IS,64.65,-14.28333
ISDPV,Djupavik,Djupavik,IS,66.1033528,-23.1055168
ISDRA,Drangsnes,Drangsnes,IS,65.6886335,-21.4429421
ISESK,Eskifjørdur - høfn,Eskifjørdur - høfn,IS,65.072639,-14.01667
ISFAS,Faskrudsfjørdur,Faskrudsfjørdur,IS,64.9299691,-14.0084454
ISFEY,Flatey,Flatey,IS,65.36667,-22.93333
ISFLA,Flateyri,Flateyri,IS,66.0488058,-23.5129609
ISGRB,Gardabaer,Gardabaer,IS,64.0880255,-21.9193961
ISGRD,Gardur,Gardur,IS,64.07035,-22.6512093
ISGRE,Grenivík,Grenivík,IS,65.95,-18.18333
ISGRF,Grundarfjørdur,Grundarfjørdur,IS,64.9250284,-23.2592976
ISGRI,Grindavík,Grindavík,IS,63.83333,-22.43333
ISGRT,Grundartangi,Grundartangi,IS,64.3601585,-21.7841266
ISGUF,Gufunes/Reykjavik,Gufunes/Reykjavik,IS,64.1526247,-21.8162035
ISHAF,Hafnarfjørdur,Hafnarfjørdur,IS,64.0695354,-21.9575664
ISHEL,Helguvik,Helguvik,IS,64.03333,-22.55
ISHFN,"Höfn, Hornafjørdur","Höfn, Hornafjørdur",IS,64.25,-15.21667
ISHJA,Hjalteyri,Hjalteyri,IS,65.849561,-18.1989082
ISHNR,Hafnir,Hafnir,IS,63.91667,-22.68333
ISHOF,Hofsós,Hofsós,IS,65.9,-19.43333
ISHRI,Hrisey,Hrisey,IS,65.9796723,-18.3772049
ISHUS,Husavik - høfn,Husavik - høfn,IS,66.043889,-17.341667
ISHVM,Hvammstangi,Hvammstangi,IS,65.3969593,-20.9440293
ISISA,Isafjørdur - høfn,Isafjørdur - høfn,IS,66.4250295,-22.4896629
ISKEV,Keflavikurkaupstadur,Keflavikurkaupstadur,IS,64.001143,-22.553322
ISKJF,Skerjafjördur,Skerjafjördur,IS,64.1292051,-21.9527389
ISKOP,Kopasker - høfn,Kopasker - høfn,IS,66.3,-16.45
ISKOV,Kópavogur,Kópavogur,IS,64.1,-21.91667
ISLAN,Landeyjahöfn,Landeyjahöfn,IS,63.53007,-20.115985
ISLSA,Litli Sandur,Litli Sandur,IS,64.4,-21.45
ISMJH,Mjoeyrarhofn,Mjoeyrarhofn,IS,64.91667,-13.95
ISMJO,Mjofjördur,Mjofjördur,IS,65.2037,-13.7955
ISMOS,Mosfellsbaer,Mosfellsbaer,IS,64.16667,-21.71667
ISNES,Neskaupstadur,Neskaupstadur,IS,65.1487219,-13.6888688
ISNJA,Njardvik,Njardvik,IS,63.9733089,-22.5426892
ISNOU,Nordurfjördur,Nordurfjördur,IS,66.0511816,-21.5481068
ISOLF,Olafsfjørdur,Olafsfjørdur,IS,66.0719629,-18.6480037
ISOLV,Olafsvík,Olafsvík,IS,64.88333,-23.71667
ISOSP,Ospakseyri,Ospakseyri,IS,65.45,-21.43333
ISPAT,Patreksfjørdur - høfn,Patreksfjørdur - høfn,IS,65.59783,-23.99596
ISRAU,Raufarhöfn,Raufarhöfn,IS,66.45,-15.95
ISREY,Reykjavík,Reykjavík,IS,64.15,-21.95
ISRFJ,Reydarfjørdur,Reydarfjørdur,IS,65.0340671,-14.2084678
ISRHA,Reykhólar,Reykhólar,IS,65.45,-22.2
ISSAN,Sandgerdi,Sandgerdi,IS,64.0388116,-22.7059293
ISSAU,Saudarkrokur - høfn,Saudarkrokur - høfn,IS,65.746111,-19.639444
ISSEY,Seydisfjørdur,Seydisfjørdur,IS,65.2598475,-14.0049009
ISSIG,Siglufjørdur - høfn,Siglufjørdur - høfn,IS,66.151945,-18.908056
ISSKA,Skagaströnd,Skagaströnd,IS,65.83333,-20.31667
ISSTD,Stodhvarfjørdur,Stodhvarfjørdur,IS,64.82982,-13.89752
ISSTR,Straumsvik,Straumsvik,IS,64.0454725,-22.0308739
ISSTY,Stykkisholmur - høfn,Stykkisholmur - høfn,IS,64.9733,-22.8097
ISSUD,Sudureyri/Sugandafjord,Sudureyri/Sugandafjord,IS,66.1295693,-23.52678
ISSUV,Sudavik,Sudavik,IS,66.0260071,-22.9914923
ISSVA,Svalbardseyri,Svalbardseyri,IS,65.7458544,-18.082973
ISTAL,Talknafjørdur/Sveinseyri,Talknafjørdur/Sveinseyri,IS,65.6274231,-23.8249036
ISTEY,Thingeyri,Thingeyri,IS,65.8791205,-23.4924457
ISTHH,Thorlakshofn,Thorlakshofn,IS,63.8561592,-21.3866276
ISTHO,Thorshofn,Thorshofn,IS,66.1981395,-15.3359357
ISVES,Vestmannaeyjar - høfn,Vestmannaeyjar - høfn,IS,63.387989,-20.3419
ISVOG,Vogar,Vogar,IS,63.98333,-22.38333
ISVPN,Vopnafjördur,Vopnafjördur,IS,65.75,-14.83333
ITAAS,Marina di Davoli,Marina di Davoli,IT,38.66667,16.55
ITACL,Aci Castello,Aci Castello,IT,37.55,15.13333
ITACT,Aci Trezza,Aci Trezza,IT,37.56667,15.16667
ITADA,Andora,Andora,IT,43.95,8.15
ITAEL,Castel Volturno,Castel Volturno,IT,41.034313,13.9408351
ITAGP,Agropoli,Agropoli,IT,40.35,14.98333
ITAHO,Alghero,Alghero,IT,40.55,8.31667
ITALI,Alicudi,Alicudi,IT,38.5427014,14.351899
ITALS,Alassio,Alassio,IT,44,8.16667
ITAMA,Amalfi,Amalfi,IT,40.63333,14.6
ITAMN,Santa Maria Navarrese,Santa Maria Navarrese,IT,39.98333,9.68333
ITAMT,Amantea,Amantea,IT,39.13333,16.06667
ITANZ,Anzio,Anzio,IT,41.45,12.61667
ITAOA,Paola,Paola,IT,39.35,16.03333
ITAOI,Ancona,Ancona,IT,43.63333,13.5
ITAOL,Acciaroli,Acciaroli,IT,40.18333,15.01667
ITAOR,Caorle,Caorle,IT,45.6,12.88333
ITATA,Arma di Taggia,Arma di Taggia,IT,43.81667,7.85
ITATI,Castiglioncello,Castiglioncello,IT,43.4,10.4
ITATX,Arbatax,Arbatax,IT,39.93333,9.7
ITAUG,Augusta,Augusta,IT,37.21667,15.21667
ITAVO,Avola,Avola,IT,36.9,15.13333
ITAZA,Arenzano,Arenzano,IT,44.4,8.68333
ITB8D,Bardello,Bardello,IT,45.83333,8.7
ITBAI,Baia,Baia,IT,40.81667,14.06667
ITBCB,Bagnara Calabra,Bagnara Calabra,IT,38.28333,15.8
ITBCE,Bisceglie,Bisceglie,IT,41.23333,16.5
ITBDS,Brindisi,Brindisi,IT,40.63333,17.93333
ITBGH,Bordighera,Bordighera,IT,43.76667,7.66667
ITBLA,Bellaria,Bellaria,IT,44.15,12.46667
ITBLN,Bagnoli,Bagnoli,IT,40.8,14.16667
ITBLT,Barletta,Barletta,IT,41.31667,16.28333
ITBMA,Bovalino Marina,Bovalino Marina,IT,38.15,16.16667
ITBMT,Belvedere Marittimo,Belvedere Marittimo,IT,39.61667,15.85
ITBNC,Bianco,Bianco,IT,38.08333,16.15
ITBOA,Bosa,Bosa,IT,40.3,8.5
ITBRI,Bari,Bari,IT,41.13333,16.85
ITBVM,Bova Marina,Bova Marina,IT,37.93333,15.91667
ITCAG,Cagliari,Cagliari,IT,39.21667,9.11667
ITCAS,Castellammare di Stabia,Castellammare di Stabia,IT,40.7,14.48333
ITCCB,Cape Carbonara,Cape Carbonara,IT,39.1,9.51667
ITCCL,Cattolica,Cattolica,IT,43.96667,12.73333
ITCCQ,Cetraro,Cetraro,IT,39.51667,15.93333
ITCEC,Cecina,Cecina,IT,43.31667,10.51667
ITCEQ,Castiglione della Pescaia,Castiglione della Pescaia,IT,42.76667,10.88333
ITCEV,Cervia,Cervia,IT,44.26667,12.36667
ITCFU,Cefalù,Cefalù,IT,38.03333,14.01667
ITCGC,Corigliano Calabro,Corigliano Calabro,IT,39.6,16.51667
ITCHI,Chioggia,Chioggia,IT,45.23333,12.28333
ITCHX,Chiavari,Chiavari,IT,44.31667,9.31667
ITCLF,Carloforte,Carloforte,IT,39.15,8.3
ITCLS,Calasetta,Calasetta,IT,39.05,8.36667
ITCML,Casamicciola Terme,Casamicciola Terme,IT,40.75,13.88333
ITCNT,Cesenatico,Cesenatico,IT,44.2,12.41667
ITCOQ,Capo d'Orlando,Capo d'Orlando,IT,38.16667,14.75
ITCPA,Capraia,Capraia,IT,43.05,9.83333
ITCPM,Cupra Marittima,Cupra Marittima,IT,43.01667,13.85
ITCPN,Copanello,Copanello,IT,38.76667,16.55
ITCRQ,Castro Marina,Castro Marina,IT,39.98333,18.4
ITCRT,Cariati,Cariati,IT,39.5,16.95
ITCRV,Crotone,Crotone,IT,39.08333,17.13333
ITCTA,Catania,Catania,IT,37.5,15.1
ITCTK,Castelsardo,Castelsardo,IT,40.91667,8.71667
ITCTR,Castellammare del Golfo,Castellammare del Golfo,IT,38.01667,12.88333
ITCVV,Civitavecchia,Civitavecchia,IT,42.1,11.8
ITCVX,Cavo,Cavo,IT,42.85,10.41667
ITDIA,Diamante,Diamante,IT,39.68333,15.81667
ITDNO,Duino,Duino,IT,45.76667,13.58333
ITFAL,Falconara,Falconara,IT,43.6296,13.3968
ITFAO,Fano,Fano,IT,43.83333,13.01667
ITFAV,Favignana,Favignana,IT,37.93333,12.33333
ITFCO,Fiumicino Apt/Roma,Fiumicino Apt/Roma,IT,41.76667,12.23333
ITFCV,Foce Varano,Foce Varano,IT,41.91667,15.8
ITFGE,Fregene,Fregene,IT,41.85,12.2
ITFME,Francavilla al Mare,Francavilla al Mare,IT,42.41667,14.28333
ITFNL,Finale Ligure,Finale Ligure,IT,44.16667,8.33333
ITFOL,Follonica,Follonica,IT,42.91667,10.75
ITFOM,Formia,Formia,IT,41.25,13.61667
ITFOR,Isolotto Formica,Isolotto Formica,IT,37.98333,12.41667
ITFPO,Filicudi Porto,Filicudi Porto,IT,38.5605423,14.5817887
ITFRD,Forio,Forio,IT,40.73333,13.85
ITFSA,Fusina,Fusina,IT,45.41667,12.23333
ITGAE,Gaeta,Gaeta,IT,41.2,13.58333
ITGAI,Golfo Aranci,Golfo Aranci,IT,41,9.61667
ITGAL,Gallipoli,Gallipoli,IT,40.05,17.98333
ITGEA,Gela,Gela,IT,37.06667,14.25
ITGIA,Giardini Naxos,Giardini Naxos,IT,37.81667,15.26667
ITGII,Giannutri,Giannutri,IT,42.254379,11.1026126
ITGIT,Gioia Tauro,Gioia Tauro,IT,38.41667,15.9
ITGLJ,Camogli,Camogli,IT,44.35,9.15
ITGMA,Gabicce Mare,Gabicce Mare,IT,43.96667,12.76667
ITGOA,Genova,Genova,IT,44.41667,8.95
ITGOO,Goro,Goro,IT,44.85,12.3
ITGOR,Gorgona,Gorgona,IT,43.4315324,9.9063902
ITGRD,Grado,Grado,IT,45.68333,13.38333
ITGSV,Rosignano Solvay,Rosignano Solvay,IT,43.38333,10.43333
ITGUI,Giulianova,Giulianova,IT,42.75,13.96667
ITGVZ,Giovinazzo,Giovinazzo,IT,41.18333,16.66667
ITGZS,Anguillara Sabazia,Anguillara Sabazia,IT,42.08333,12.26667
ITICA,Torvaianica,Torvaianica,IT,41.63333,12.46667
ITIDF,Isola delle Femmine,Isola delle Femmine,IT,38.2,13.25
ITIDG,Isola del Giglio,Isola del Giglio,IT,42.36667,10.9
ITIMP,Imperia,Imperia,IT,43.88333,8.05
ITIOA,Civitanova Marche,Civitanova Marche,IT,43.3,13.73333
ITIOI,Maiori,Maiori,IT,40.65,14.63333
ITISB,Pier Isab,Pier Isab,IT,37.11667,15.25
ITISH,Ischia,Ischia,IT,40.73333,13.95
ITISN,Isola Asinara,Isola Asinara,IT,41.05,8.26667
ITISS,Isola Santo Stefano,Isola Santo Stefano,IT,41.1972221,9.4105951
ITITI,Sistiana,Sistiana,IT,45.75,13.63333
ITJLO,Iesolo,Iesolo,IT,45.53333,12.65
ITLAD,Ladispoli,Ladispoli,IT,41.93333,12.08333
ITLAE,Lacco Ameno,Lacco Ameno,IT,40.75,13.9
ITLAW,Lavagna,Lavagna,IT,44.3,9.33333
ITLEA,Scalea,Scalea,IT,39.81667,15.78333
ITLEC,Leuca,Leuca,IT,39.8,18.35
ITLEN,Levanto,Levanto,IT,44.16667,9.63333
ITLER,Lerici,Lerici,IT,44.06667,9.91667
ITLES,Lesina,Lesina,IT,41.86667,15.35
ITLEV,Levanzo,Levanzo,IT,37.98333,12.33333
ITLIC,Licata,Licata,IT,37.1,13.93333
ITLIP,Lipari,Lipari,IT,38.45,14.95
ITLIU,Linosa,Linosa,IT,35.85944,12.8632659
ITLIV,Livorno,Livorno,IT,43.55,10.31667
ITLLT,Savelletri,Savelletri,IT,40.86667,17.41667
ITLMP,Lampedusa,Lampedusa,IT,35.5,12.6
ITLOA,Loano,Loano,IT,44.13333,8.25
ITLSD,Lignano Sabbiadoro,Lignano Sabbiadoro,IT,45.7,13.15
ITM2R,Marina di Ragusa,Marina di Ragusa,IT,36.78333,14.55
ITMAH,Marina di Ginosa,Marina di Ginosa,IT,40.41667,16.88333
ITMAJ,Marano Lagunare,Marano Lagunare,IT,45.76667,13.16667
ITMAM,Marciana Marina,Marciana Marina,IT,42.8,10.2
ITMAZ,Mazara del Vallo,Mazara del Vallo,IT,37.65,12.58333
ITMDA,La Maddalena,La Maddalena,IT,41.21667,9.4
ITMDC,Marina di Carrara,Marina di Carrara,IT,44.0376696,10.0455044
ITMDW,Margherita di Savoia,Margherita di Savoia,IT,41.36667,16.15
ITMFR,Manfredonia,Manfredonia,IT,41.63333,15.91667
ITMGE,Marina Grande,Marina Grande,IT,40.55,14.25
ITMIM,Mili Marina,Mili Marina,IT,38.11667,15.51667
ITMIS,Misano Adriatico,Misano Adriatico,IT,43.96667,12.7
ITMIT,Marina di Camerota,Marina di Camerota,IT,40,15.36667
ITMLB,Marina della Lobra,Marina della Lobra,IT,40.6,14.33333
ITMLS,Montalto di Castro,Montalto di Castro,IT,42.35,11.61667
ITMLU,Massa Lubrense,Massa Lubrense,IT,40.6,14.33333
ITMLZ,Milazzo,Milazzo,IT,38.2208049,15.2415129
ITMMO,Marettimo,Marettimo,IT,37.9683832,12.0737919
ITMND,"Mondello, Palermo","Mondello, Palermo",IT,38.2,13.33333
ITMNF,Monfalcone,Monfalcone,IT,45.8049454,13.5330592
ITMNP,Monopoli,Monopoli,IT,40.9522369,17.299948
ITMNU,Marinella di Selinunte,Marinella di Selinunte,IT,37.58333,12.78333
ITMOL,Molfetta,Molfetta,IT,41.1992456,16.5968279
ITMPA,Marina di Pisa,Marina di Pisa,IT,43.66667,10.26667
ITMPS,Melito di Porto Salvo,Melito di Porto Salvo,IT,37.91667,15.78333
ITMRA,Marsala,Marsala,IT,37.8,12.43333
ITMRM,Cirò Marina,Cirò Marina,IT,39.36667,17.13333
ITMRP,Marina di Campo,Marina di Campo,IT,42.73333,10.23333
ITMSB,Marina di Pisciotta,Marina di Pisciotta,IT,40.1,15.23333
ITMSD,Marina di Grosseto,Marina di Grosseto,IT,42.71667,10.98333
ITMSN,Messina,Messina,IT,38.1937571,15.5542082
ITMTH,Meta,Meta,IT,40.65,14.4
ITNAP,Napoli,Napoli,IT,40.83333,14.25
ITNCT,San Cataldo,San Cataldo,IT,40.38333,18.3
ITNGA,Sperlonga,Sperlonga,IT,41.25,13.43333
ITNIG,Cannigione,Cannigione,IT,41.1078223,9.4397872
ITNLI,Noli,Noli,IT,44.2,8.43333
ITNNE,Cala Gonone,Cala Gonone,IT,40.3,9.63333
ITNSR,Nova Siri,Nova Siri,IT,40.15,16.53333
ITNTA,Sant'Antioco,Sant'Antioco,IT,39.06667,8.45
ITNTE,Sestri Levante,Sestri Levante,IT,44.26667,9.4
ITNTT,Nettuno,Nettuno,IT,41.46667,12.68333
ITNUM,Numana,Numana,IT,43.51667,13.61667
ITOBT,Orbetello,Orbetello,IT,42.45,11.21667
ITODB,Mola di Bari,Mola di Bari,IT,41.06667,17.08333
ITODG,Mondragone,Mondragone,IT,41.11667,13.88333
ITOGN,Ognina,Ognina,IT,36.98333,15.25
ITOLB,Olbia,Olbia,IT,40.91667,9.51667
ITONE,Oneglia,Oneglia,IT,43.8890575,8.0404426
ITORL,Porticello,Porticello,IT,38.08333,13.53333
ITOTN,Ortona,Ortona,IT,42.349643,14.403913
ITOTO,Otranto,Otranto,IT,40.1456661,18.490757
ITOZI,Pozzillo,Pozzillo,IT,37.65,15.18333
ITPAN,Panarea,Panarea,IT,38.6360134,15.0672476
ITPAU,Palau,Palau,IT,41.1810758,9.3820424
ITPAZ,Porto Azzurro,Porto Azzurro,IT,42.7768848,10.3898682
ITPCE,Porto Cervo,Porto Cervo,IT,41.1318983,9.5353646
ITPCH,Peschici,Peschici,IT,41.9469256,16.0147884
ITPCN,Porto Conte Torre Nuova,Porto Conte Torre Nuova,IT,40.6,8.2
ITPDI,Porto d'Ischia,Porto d'Ischia,IT,40.7454893,13.9404376
ITPED,Pedaso,Pedaso,IT,43.1,13.83333
ITPEM,Porto Empedocle,Porto Empedocle,IT,37.2883127,13.52755
ITPES,Pesaro,Pesaro,IT,43.9,12.91667
ITPFE,Portoferraio,Portoferraio,IT,42.7978119,10.2992572
ITPFX,Sarroch (Porto Foxi),Sarroch (Porto Foxi),IT,39.05,9
ITPGA,Porto Garibaldi,Porto Garibaldi,IT,44.6784293,12.2398703
ITPGL,Portigliola,Portigliola,IT,38.23333,16.21667
ITPIA,Pianosa,Pianosa,IT,42.56667,10.06667
ITPIM,Praia a Mare,Praia a Mare,IT,39.9,15.78333
ITPIO,Piombino,Piombino,IT,42.9231662,10.5268192
ITPIZ,Pizzo,Pizzo,IT,38.73333,16.16667
ITPLI,Porto Lignano,Porto Lignano,IT,45.7012479,13.1535368
ITPLN,Palinuro,Palinuro,IT,40.03333,15.28333
ITPMA,Marghera,Marghera,IT,45.45,12.21667
ITPMM,Palmi,Palmi,IT,38.35,15.85
ITPMO,Palermo,Palermo,IT,38.11667,13.36667
ITPMZ,Porto Maurizio,Porto Maurizio,IT,43.8762082,8.0156743
ITPNG,Porto Nogaro,Porto Nogaro,IT,45.8160297,13.2187352
ITPNL,Pantelleria,Pantelleria,IT,36.8314576,11.9450395
ITPNZ,Ponza,Ponza,IT,40.9,12.96667
ITPOM,Pomezia,Pomezia,IT,41.66667,12.5
ITPOQ,Porto Viro,Porto Viro,IT,45.05,12.25
ITPOS,Positano,Positano,IT,40.6286581,14.4854955
ITPOZ,Pozzuoli,Pozzuoli,IT,40.822643,14.1219109
ITPPF,Porto Palo,Porto Palo,IT,37.56667,12.9
ITPPL,Portopalo,Portopalo,IT,36.68333,15.13333
ITPPT,Porto Tolle,Porto Tolle,IT,44.93333,12.36667
ITPRF,Porto Recanati,Porto Recanati,IT,43.43333,13.66667
ITPRH,Sapri,Sapri,IT,40.06667,15.63333
ITPRJ,Capri,Capri,IT,40.55,14.23333
ITPRL,Priolo Gargallo,Priolo Gargallo,IT,37.15,15.18333
ITPRO,Procida,Procida,IT,40.7649991,14.0239063
ITPRR,Piano di Sorrento,Piano di Sorrento,IT,40.63333,14.38333
ITPRW,Portovenere,Portovenere,IT,44.05,9.85
ITPSR,Pescara,Pescara,IT,42.46667,14.23333
ITPSS,Porto Santo Stefano,Porto Santo Stefano,IT,42.4338317,11.1237128
ITPTC,Portici,Portici,IT,40.81667,14.33333
ITPTF,Portofino,Portofino,IT,44.303253,9.2095582
ITPTH,Porto Ercole,Porto Ercole,IT,42.38333,11.2
ITPTI,Patti,Patti,IT,38.13333,14.96667
ITPTO,Porto Torres,Porto Torres,IT,40.8370333,8.4013292
ITPUC,Punta Cugno,Punta Cugno,IT,37.21667,15.2
ITPVE,Portoscuso (Porto Vesme),Portoscuso (Porto Vesme),IT,39.2,8.38333
ITPVT,Porto Levante,Porto Levante,IT,45.05,12.36667
ITPZL,Pozzallo,Pozzallo,IT,36.71667,14.85
ITQMM,Marina di Massa,Marina di Massa,IT,44,10.1
ITQOS,Oristano,Oristano,IT,39.9,8.6
ITRAN,Ravenna,Ravenna,IT,44.4161414,12.2017617
ITRCE,Riccione,Riccione,IT,43.98333,12.65
ITREC,Recco,Recco,IT,44.36667,9.15
ITREG,Reggio di Calabria,Reggio di Calabria,IT,38.1,15.65
ITRGG,Rodi Garganico,Rodi Garganico,IT,41.928745,15.881052
ITRIN,Rinella,Rinella,IT,38.53333,14.83333
ITRMA,Rio Marina,Rio Marina,IT,42.81342,10.426219
ITRMG,Rio Maggiore,Rio Maggiore,IT,44.1,9.73333
ITRMI,Rimini,Rimini,IT,44.06667,12.58333
ITRNS,Spotorno,Spotorno,IT,44.23333,8.41667
ITROC,Roccella Ionica,Roccella Ionica,IT,38.31667,16.4
ITRPO,Rapallo,Rapallo,IT,44.35,9.23333
ITRPT,Riposto,Riposto,IT,37.73333,15.2
ITRRO,Sorrento,Sorrento,IT,40.624906,14.374836
ITRRV,Sferracavallo,Sferracavallo,IT,38.2,13.23333
ITRSM,Monterosso al Mare,Monterosso al Mare,IT,44.15,9.65
ITRTS,Riva Trigoso,Riva Trigoso,IT,44.26667,9.41667
ITRTT,Marotta,Marotta,IT,43.76667,13.13333
ITSAL,Salerno,Salerno,IT,40.6803601,14.7594542
ITSAT,Sant' Antioco,Sant' Antioco,IT,39.0648291,8.4562962
ITSCK,Sciacca,Sciacca,IT,37.51667,13.05
ITSCO,Scoglitti,Scoglitti,IT,36.88333,14.43333
ITSDB,San Benedetto del Tronto,San Benedetto del Tronto,IT,42.95,13.88333
ITSEG,Senigallia,Senigallia,IT,43.71667,13.21667
ITSFE,San Felice Circeo,San Felice Circeo,IT,41.23333,13.08333
ITSFM,Santa Foca di Melendugno,Santa Foca di Melendugno,IT,40.26667,18.33333
ITSID,Siderno Marina,Siderno Marina,IT,38.26667,16.3
ITSIG,Porto San Giorgio,Porto San Giorgio,IT,43.18333,13.8
ITSIR,Siracusa,Siracusa,IT,37.0315752,15.2124277
ITSLA,Santa Marina Salina,Santa Marina Salina,IT,38.56667,14.86667
ITSLC,"Saline, Reggio Calabria","Saline, Reggio Calabria",IT,37.95,15.7
ITSLL,Scilla,Scilla,IT,38.25,15.71667
ITSLV,Silvi Marina,Silvi Marina,IT,42.56667,14.08333
ITSMA,Santa Marinella,Santa Marinella,IT,42.03333,11.85
ITSMK,Santa Maria di Castellabate,Santa Maria di Castellabate,IT,40.28333,14.95
ITSML,Santa Margherita Ligure,Santa Margherita Ligure,IT,44.3281018,9.1927075
ITSNR,Terrasini,Terrasini,IT,38.15,13.08333
ITSOO,Soverato,Soverato,IT,38.68333,16.55
ITSPA,Santa Panagia,Santa Panagia,IT,37.1,15.25
ITSPE,La Spezia,La Spezia,IT,44.11667,9.83333
ITSRE,San Remo,San Remo,IT,43.8362985,7.7772658
ITSRH,Scario,Scario,IT,40.05,15.48333
ITSSF,Santo Stefano al Mare,Santo Stefano al Mare,IT,43.83333,7.88333
ITSTE,Santa Teresa di Gallura,Santa Teresa di Gallura,IT,41.23333,9.18333
ITSTR,Stromboli,Stromboli,IT,38.8040486,15.2373865
ITSVC,San Vito lo Capo,San Vito lo Capo,IT,38.172347,12.734932
ITSVN,Savona,Savona,IT,44.28333,8.5
ITTAA,Cetara,Cetara,IT,40.65,14.7
ITTAL,Talamone,Talamone,IT,42.554954,11.1334924
ITTAO,Taormina,Taormina,IT,37.85,15.28333
ITTAR,Taranto,Taranto,IT,40.48333,17.23333
ITTCC,Trebisacce,Trebisacce,IT,39.86667,16.53333
ITTCS,Torre Cesarea,Torre Cesarea,IT,40.03333,18.45
ITTEA,Maratea,Maratea,IT,39.98333,15.71667
